Fiscal Year,Fund ID,Fund Name,Fund Type,Department ID,Department Name,Department Type,GL Account,GL Description,GL Category,Revenue or Expenditure,Current,Adopted,Actuals
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,424060,Interfund Airport Police Services,Direct Interfund Services,Revenues,35751487,35751487,33727131
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,425050,Indirect Cost Recovery - Auto Dealers,Indirect Interfund Services,Revenues,1357292,1357292,1245727
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,426260,Police Services,Charges for Services,Revenues,878000,878000,669056
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,426340,Public Safety Reports Fees,Charges for Services,Revenues,881900,881900,673666
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,426370,Training Services,Charges for Services,Revenues,18125,18125,5098
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,426430,Facility Rental Fees,Charges for Services,Revenues,91215,91215,83572
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,428080,Returned Check Charges,Other Fines and Forfeits,Revenues,200,200,24
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,428090,Miscellaneous Fines & Forfeitures,Other Fines and Forfeits,Revenues,30000,30000,58080
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,434225,Sale of Non-Capital Equip. & Merchandise,Miscellaneous/Other,Revenues,40000,40000,13076
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,434510,Prior Year Revenue,Miscellaneous/Other,Revenues,0,0,36737
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,452020,Recoveries & Refunds,Miscellaneous/Other,Revenues,185000,185000,149329
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,452030,Miscellaneous Revenue,Miscellaneous/Other,Revenues,2367158,2367158,1917699
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,490020,Transfer from Special Revenue Fund,Other Resources,Revenues,1900000,1900000,1900000
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,500010,Salary Base Pay - Civilian,Personnel Services,Expenditures,50888540,51288540,43143591
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,500020,Salary Base Pay - Classified,Personnel Services,Expenditures,419652553,423435200,375422536
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,500030,Salary Part Time - Civilian,Personnel Services,Expenditures,26141,26141,21144
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,500040,Salary Assignment Pay - Classified,Personnel Services,Expenditures,2122571,2122571,1734057
